Judge,Product,Session,Replica,Sequence,Codes confirmation,Yellow appearance,Thick appearance,Whey Odor,Sweet Odor,Sweet taste,Milky taste,Creamy taste,Whey taste,Remark Attribute 3,Thick and smooth mouthfeel,Remark Attribute 4,Creamy Aftertaste,Remark Attribute 5
J01,C1 Cowbell SCC,1,1,1,1,1,1,2,1,2,1,1,2,NA,1,NA,1,NA
J01,T1,1,1,1,1,2,2,1,2,1,2,2,1,NA,2,NA,4,NA
J01,C2 Cowbell SCC,1,1,1,1,4,4,3,4,3,3,3,4,NA,3,NA,3,NA
J01,C3 Cowbell SCC,1,1,1,1,3,3,4,3,4,4,4,3,NA,4,NA,2,NA
J01,C1 Cowbell SCC,2,2,1,1,1,1,1,1,4,1,1,1,NA,1,NA,1,NA
J01,T1,2,2,1,1,2,2,3,2,3,4,4,2,NA,2,NA,2,NA
J01,C2 Cowbell SCC,2,2,1,1,3,3,2,3,1,2,2,4,NA,3,NA,3,NA
J01,C3 Cowbell SCC,2,2,1,1,4,4,4,4,2,3,3,3,NA,4,NA,4,NA
J02,C1 Cowbell SCC,1,1,1,1,1,1,1,4,4,1,1,1,NA,1,NA,1,NA
J02,T1,1,1,1,1,2,2,4,3,2,3,3,4,NA,2,NA,2,NA
J02,C3 Cowbell SCC,1,1,1,1,4,4,3,2,3,2,2,3,NA,3,NA,3,NA
J02,C2 Cowbell SCC,1,1,1,1,3,3,2,1,1,4,4,2,NA,4,NA,4,NA
J02,C1 Cowbell SCC,2,2,1,1,1,1,1,4,4,1,4,1,NA,4,NA,4,NA
J02,T1,2,2,1,1,2,2,4,3,2,3,3,4,NA,3,NA,3,NA
J02,C3 Cowbell SCC,2,2,1,1,4,4,3,2,3,2,2,3,NA,2,NA,2,NA
J02,C2 Cowbell SCC,2,2,1,1,3,3,2,1,1,4,1,2,NA,1,NA,1,NA
J03,C2 Cowbell SCC,1,1,1,1,3,3,3,2,4,3,1,2,NA,1,NA,1,NA
J03,C3 Cowbell SCC,1,1,1,1,4,4,4,1,1,4,4,4,NA,4,NA,4,NA
J03,T1,1,1,1,1,2,2,2,3,2,2,3,3,NA,3,NA,3,NA
J03,C1 Cowbell SCC,1,1,1,1,1,1,1,4,3,1,2,1,NA,2,NA,2,NA
J03,C2 Cowbell SCC,2,2,1,1,3,3,4,1,1,3,3,1,NA,4,NA,4,NA
J03,C3 Cowbell SCC,2,2,1,1,4,4,3,2,2,4,4,2,NA,3,NA,3,NA
J03,T1,2,2,1,1,2,2,1,4,4,2,2,4,NA,2,NA,2,NA
J03,C1 Cowbell SCC,2,2,1,1,1,1,2,3,3,1,1,3,NA,1,NA,1,NA
J04,C2 Cowbell SCC,1,1,1,1,4,4,4,3,1,4,4,2,NA,4,NA,4,NA
J04,C3 Cowbell SCC,1,1,1,1,3,3,2,2,3,2,2,3,NA,2,NA,2,NA
J04,C1 Cowbell SCC,1,1,1,1,1,1,1,4,4,1,1,1,NA,1,NA,1,NA
J04,T1,1,1,1,1,2,2,3,1,2,3,3,4,NA,3,NA,3,NA
J04,C1 Cowbell SCC,2,2,1,1,1,1,4,4,4,1,1,1,NA,1,NA,1,NA
J04,C2 Cowbell SCC,2,2,1,1,4,4,1,3,3,2,2,3,NA,2,NA,2,NA
J04,T1,2,2,1,1,2,2,3,1,1,4,4,2,NA,4,NA,4,NA
J04,C3 Cowbell SCC,2,2,1,1,3,3,2,2,2,3,3,4,NA,3,NA,3,NA
J05,C2 Cowbell SCC,1,1,1,1,3,3,3,3,3,2,2,2,NA,4,NA,2,NA
J05,T1,1,1,1,1,2,2,2,1,1,4,4,3,NA,2,NA,4,NA
J05,C1 Cowbell SCC,1,1,1,1,1,1,1,4,4,1,1,1,NA,1,NA,1,NA
J05,C3 Cowbell SCC,1,1,1,1,4,4,4,2,2,3,3,4,NA,3,NA,3,NA
